Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,Growth Status,Revenue per Employee,Growth Rate Category,Revenue Share by Industry
1.0,Walmart,Retail,648125.0,0.06,2100000.0,"Bentonville, Arkansas",Positive,0.3086309523809524,Stable,5.297472113738984
2.0,Amazon,Retail and cloud computing,574785.0,0.11900000000000001,1525000.0,"Seattle, Washington",Positive,0.3769081967213115,Stable,4.698025086048929
3.0,Apple,Electronics industry,383482.0,-0.027999999999999997,161000.0,"Cupertino, California",Negative,2.3818757763975156,Declining,3.1344033961363214
4.0,UnitedHealth Group,Healthcare,371622.0,0.146,440000.0,"Minnetonka, Minnesota",Positive,0.8445954545454546,Stable,3.0374652757599363
5.0,Berkshire Hathaway,Conglomerate,364482.0,0.207,396500.0,"Omaha, Nebraska",Positive,0.9192484237074401,Stable,2.979106238703664
6.0,CVS Health,Healthcare,357776.0,0.109,259500.0,"Woonsocket, Rhode Island",Positive,1.3787129094412331,Stable,2.9242945156645384
7.0,ExxonMobil,Petroleum industry,344582.0,-0.16699999999999998,61500.0,"Spring, Texas",Negative,5.602959349593496,Declining,2.8164529001294607
8.0,Alphabet,Technology and cloud computing,307394.0,0.087,182502.0,"Mountain View, California",Positive,1.684332226496148,Stable,2.5124954953607426
9.0,McKesson Corporation,Health,276711.0,0.048,48000.0,"Irving, Texas",Positive,5.7648125,Stable,2.261706933176205
10.0,Cencora,Pharmacy wholesale,262173.0,0.099,44000.0,"Conshohocken, Pennsylvania",Positive,5.958477272727273,Stable,2.1428800871364175
11.0,Costco,Retail,242290.0,0.068,316000.0,"Issaquah, Washington",Positive,0.766740506329114,Stable,1.9803656986504432
12.0,JPMorgan Chase,Financial services,239425.0,0.547,309926.0,"New York City, New York",Positive,0.7725231184218169,Stable,1.956948522016519
13.0,Microsoft,Technology and cloud computing,211915.0,0.069,221000.0,"Redmond, Washington",Positive,0.9588914027149321,Stable,1.7320945851232352
14.0,Cardinal Health,Healthcare,205012.0,0.13,47520.0,"Dublin, Ohio",Positive,4.31422558922559,Stable,1.6756726757675706
15.0,Chevron Corporation,Petroleum industry,200949.0,-0.184,45600.0,"Houston, Texas",Negative,4.4067763157894735,Declining,1.642463604680787
16.0,Cigna,Health insurance,195265.0,0.08199999999999999,71413.0,"Bloomfield, Connecticut",Positive,2.734306078725162,Stable,1.5960052340046174
17.0,Ford Motor Company,Automotive industry,176191.0,0.115,177000.0,"Dearborn, Michigan",Positive,0.9954293785310735,Stable,1.4401032350114336
18.0,Bank of America,Financials,171912.0,0.494,212985.0,"Charlotte, North Carolina",Positive,0.8071554334812311,Stable,1.4051286804506788
19.0,General Motors,Automotive industry,171842.0,0.096,163000.0,"Detroit, Michigan",Positive,1.054245398773006,Stable,1.4045565330285585
20.0,Elevance Health,Healthcare,171340.0,0.094,104900.0,"Indianapolis, Indiana",Positive,1.6333651096282173,Stable,1.4004534186584958
21.0,Citigroup,Financials,156820.0,0.551,237925.0,"New York City, New York",Positive,0.6591152674162026,Stable,1.281773696241539
22.0,Centene,Healthcare,153999.0,0.065,67700.0,"St. Louis, Missouri",Positive,2.2747267355982275,Stable,1.2587161551300903
23.0,The Home Depot,Retail,152669.0,-0.03,463100.0,"Atlanta, Georgia",Negative,0.32966745843230405,Declining,1.2478453541098045
24.0,Marathon Petroleum,Petroleum industry,150307.0,-0.165,18200.0,"Findlay, Ohio",Negative,8.258626373626374,Declining,1.2285394653805448
25.0,Kroger,Retail,150039.0,-0.036000000000000004,414000.0,"Cincinnati, Ohio",Negative,0.36241304347826087,Declining,1.226348958107284
26.0,Phillips 66,Petroleum industry,149890.0,-0.147,14000.0,"Houston, Texas",Negative,10.706428571428571,Declining,1.225131101451628
27.0,Fannie Mae,Financials,141240.0,0.162,8100.0,"Washington, D.C.",Positive,17.437037037037037,Stable,1.1544300271467605
28.0,Walgreens Boots Alliance,Pharmaceutical industry,139081.0,0.048,268500.0,"Deerfield, Illinois",Positive,0.5179925512104283,Stable,1.1367833659416495
29.0,Valero Energy,Petroleum industry,139001.0,-0.188,9987.0,"San Antonio, Texas",Negative,13.918193651747272,Declining,1.136129483173512
30.0,Meta Platforms,Technology,134902.0,0.157,67317.0,"Menlo Park, California",Positive,2.0039811637476417,Stable,1.102626164841067
31.0,Verizon Communications,Telecommunications,133974.0,-0.021,105400.0,"New York City, New York",Negative,1.271100569259962,Declining,1.095041124730672
32.0,AT&T,Conglomerate and telecommunications,122428.0,0.013999999999999999,150470.0,"Dallas, Texas",Positive,0.8136372698876853,Stable,1.000669494219227
33.0,Comcast,Telecommunications,121572.0,0.001,186000.0,"Philadelphia, Pennsylvania",Positive,0.6536129032258065,Stable,0.9936729486001555
34.0,Wells Fargo,Financials,115340.0,0.392,226000.0,"San Francisco, California",Positive,0.5103539823008849,Stable,0.9427354809622441
35.0,Goldman Sachs,Financials,108418.0,0.578,45300.0,"New York City, New York",Positive,2.3933333333333335,Stable,0.8861582744491466
36.0,Freddie Mac,Financials,108050.0,0.24600000000000002,8020.0,"McLean, Virginia",Positive,13.472568578553616,Stable,0.8831504137157142
37.0,Target Corporation,Retail,107412.0,-0.016,415000.0,"Minneapolis, Minnesota",Negative,0.25882409638554216,Declining,0.8779356986398176
38.0,Humana,Health insurance,106374.0,0.145,67600.0,"Louisville, Kentucky",Positive,1.5735798816568047,Stable,0.8694515697232335
39.0,State Farm,Financials,104199.0,0.166,65054.0,"Bloomington, Illinois",Positive,1.601730869738986,Stable,0.851674131964495
40.0,Tesla,Automotive and energy,96773.0,0.188,140473.0,"Austin, Texas",Positive,0.6889081887622532,Stable,0.7909774640121315
41.0,Morgan Stanley,Financials,96194.0,0.45899999999999996,80006.0,"New York City, New York",Positive,1.2023348248881334,Stable,0.7862449874777364
